step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\live-runs\N2-0-3-7-bank-20260801-203000\bank.protocol
1,PASS,gm .gm on
2,PASS,gm .npc spawn add 2455
3,PASS,select spawn:1 guid=0xF13000099704A2D1
4,PASS,gm .gm off
5,PASS,bank open
6,PASS,wait 2
7,PASS,ui-parity bank
8,PASS,wait 2
9,PASS,gm .gm on
10,PASS,gm .npc spawn delete
11,PASS,gm .gm off
