row,time,opcode,name,bytes,sha256,flushed,hex
1,5.242,0x0095,CMSG_MESSAGECHAT,19,a2b8e764b7b36f037943d236b8f1f3b83d94a44b63cd630bb2e23e9c2506536d,true,0B4C939F0A7000000000070000002E67707300
2,5.255,0x0141,CMSG_ATTACKSWING,14,402ccbe93c48283d272761956017df71f075ed51fb1ab4ffee52787861e41d1e,true,D0390DB812FA9CA20406000030F1
3,5.802,0x0142,CMSG_ATTACKSTOP,6,40360fe9b8cbe744502cc7abe9b7ff8e08dd8314f29033c4be56c9167aa80e1f,true,1F929D10FEBD
