time,character,class_id,spell_id,name,school,cast_type,result_enum,animation_state,effect_check,target_type,gcd_ready,cooldown_ready,resource_type,resource_before,resource_cost,resolved_guid,sent
0.595,"Nbmaghuman",8,836,"LOGINEFFECT",PHYSICAL,CAST,SMSG_SPELL_GO,"none","Particles\LoginFX.mdl",SERVER,True,True,MANA,2838,0,0x0000000000000000,True
6.189,"Nbmaghuman",8,1459,"Arcane Intellect",ARCANE,CAST,PRE_SEND_PASS,"Run","Spells\Magic_Cast_Hand.mdx|Spells\ArcaneIntellect_Impact_Base.mdx",SELF,True,True,MANA,2838,60,0x0000000000000223,True
8.335,"Nbmaghuman",8,1459,"Arcane Intellect",ARCANE,CAST,SMSG_SPELL_START,"Run","Spells\Magic_Cast_Hand.mdx|Spells\ArcaneIntellect_Impact_Base.mdx",SERVER,True,True,MANA,2838,0,0x0000000000000000,True
8.336,"Nbmaghuman",8,1459,"Arcane Intellect",ARCANE,CAST,SMSG_SPELL_GO,"Run","Spells\Magic_Cast_Hand.mdx|Spells\ArcaneIntellect_Impact_Base.mdx",SERVER,True,True,MANA,2838,0,0x0000000000000000,True
35.500,"Nbmaghuman",8,1459,"Arcane Intellect",ARCANE,EFFECT_CHECK,AURA_PRESENT,"Stand","PLAYER_DESCRIPTOR_AURA",SELF,True,True,NONE,0,0,0x0000000000000223,False
