step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\live-runs\N2-0-3-8-mail-20260801-204500\mail.protocol
1,PASS,gm .gm on
2,PASS,gm .go xyz -8833 628 95 0
3,PASS,wait 5
4,PASS,select mailbox-nearest guid=0xF110023303006713
5,PASS,gm .gm off
6,PASS,mail open
7,PASS,wait 2
8,PASS,mail simulate-list
9,PASS,ui-parity mail
10,PASS,wait 2
