step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\P1-precondition-matrix-20260731-181500.txt
1,PASS,move-trace start P1-precondition-matrix-position-20260731-181500
2,PASS,gm .gm on
3,PASS,wait 1
4,PASS,gm .gm
5,PASS,wait 1
6,PASS,gm .npc spawn add 6
7,PASS,wait 0.2
8,PASS,select spawn:1 guid=0xF13000000604A283
9,PASS,assert within3=true
10,PASS,gm .npc set level 60
11,PASS,gm .npc set reactstate 0
12,PASS,gm .npc info
13,PASS,wait 1
14,PASS,gm .gm off
15,PASS,wait 1
16,PASS,gm .gm
17,PASS,wait 1
18,PASS,gm .gps
19,PASS,wait 1
20,PASS,wire-trace start path=dumps/wire-20260731-171512.wlog
21,PASS,trace start P1-A-gm-off-spawn-20260731-181500
22,PASS,attack start
23,PASS,wait 3
24,PASS,attack stop
25,PASS,wait 0.2
26,PASS,trace stop
27,PASS,gm .gm on
28,PASS,wait 1
29,PASS,gm .gm
30,PASS,wait 1
31,PASS,gm .gps
32,PASS,wait 1
33,PASS,trace start P1-B-gm-on-same-spawn-20260731-181500
34,PASS,attack start
35,PASS,wait 3
36,PASS,attack stop
37,PASS,wait 0.2
38,PASS,trace stop
39,PASS,gm .npc spawn delete
40,PASS,wait 1
41,PASS,waitgone spawn:1 guid=0xF13000000604A283 descriptorPresent=False
42,PASS,gm .go creature 45551
43,PASS,wait 3
44,PASS,gm .gm off
45,PASS,wait 1
46,PASS,gm .gm
47,PASS,wait 1
48,PASS,gm .gps
49,PASS,wait 1
50,FAIL,select wild-entry:121 guid=0x0000000000000000
51,PASS,trace start P1-C-gm-off-live-wild-20260731-181500
52,PASS,attack start
53,PASS,wait 3
54,PASS,attack stop
55,PASS,wait 0.2
56,PASS,trace stop
57,PASS,wire-trace stop
58,PASS,move-trace stop
