time,character,spell_id,cell,row_kind,coverage,sample_index,frame,actual_stage,expected_animation_id,requested_animation_id,played_animation_id,resolution,renderer_state,base_animation,previous_base_animation,action_animation,hold_animation,blend_weight,moving,active_models,asset_sources,animation_verdict,blend_verdict,gm_mode,source
5.925,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,0,"n3-mage-1459-standing-00",SETTLE,54,-1,-1,Missing,"Stand","Stand","none","none","none",1.0000,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
8.317,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,1,"n3-mage-1459-standing-01",IMPACT,-1,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,"Spells\ArcaneIntellect_Impact_Base.m2|Spells\Magic_Cast_Hand.m2","patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
10.548,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,2,"n3-mage-1459-standing-02",IMPACT,-1,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,"","patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
12.635,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,3,"n3-mage-1459-standing-03",IMPACT,-1,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,"","patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
14.713,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,4,"n3-mage-1459-standing-04",IMPACT,-1,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,"","patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
17.263,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,5,"n3-mage-1459-standing-05",IMPACT,-1,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,"","patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
19.652,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,6,"n3-mage-1459-standing-06",IMPACT,-1,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,"","patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
22.076,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,7,"n3-mage-1459-standing-07",IMPACT,-1,54,54,BakedOnDemand,"Stand","Stand","Anim54","none","none",0.1836,False,"","patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
24.451,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,8,"n3-mage-1459-standing-08",IMPACT,-1,54,54,BakedOnDemand,"Stand","Stand","Anim54","none","none",0.5635,False,"","patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
26.795,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,9,"n3-mage-1459-standing-09",IMPACT,-1,54,54,BakedOnDemand,"Stand","Stand","Anim54","none","none",0.9449,False,"","patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
29.284,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,10,"n3-mage-1459-standing-10",IMPACT,-1,54,54,BakedOnDemand,"Stand","Stand","none","none","none",1.0000,False,"","patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
31.686,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,11,"n3-mage-1459-standing-11",IMPACT,-1,54,54,BakedOnDemand,"Stand","Stand","none","none","none",1.0000,False,"","patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
34.069,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,12,"n3-mage-1459-standing-12",IMPACT,-1,54,54,BakedOnDemand,"Stand","Stand","none","none","none",1.0000,False,"","patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
36.659,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,13,"n3-mage-1459-standing-13",IMPACT,-1,54,54,BakedOnDemand,"Stand","Stand","none","none","none",1.0000,False,"","patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
38.908,"Nbmaghuman",1459,STANDING,CELL,MEASURED,14,"ALL",IMPACT,-1,54,54,BakedOnDemand,"Stand","Stand","none","none","none",1.0000,False,"","patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",ANIM-STATIC,N/A,OFF,DERIVED_FROM_SEQUENCE_SAMPLES
