step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\T3-VA-gm-on-20260731-160000.txt
1,PASS,gm .gm on
2,PASS,gm .npc spawn add 6
3,PASS,wait 0.2
4,PASS,select spawn:1 guid=0xF13000000604A271
5,PASS,assert within3=true
6,PASS,trace start T3-VA-gm-on-20260731-160000
7,PASS,attack start
8,PASS,wait 10
9,PASS,attack stop
10,PASS,trace stop
11,PASS,gm .npc spawn delete
12,PASS,wait 1
13,PASS,waitgone spawn:1 guid=0xF13000000604A271 descriptorPresent=False
