panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"character-frame","CharacterHandsSlotCooldown","Model","CharacterHandsSlot","","","","","","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterWaistSlot","Button","PaperDollFrame","","","","","TOPLEFT","CharacterHandsSlot","BOTTOMLEFT","0","-4","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterWaistSlotCooldown","Model","CharacterWaistSlot","","","","","","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterLegsSlot","Button","PaperDollFrame","","","","","TOPLEFT","CharacterWaistSlot","BOTTOMLEFT","0","-4","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterLegsSlotCooldown","Model","CharacterLegsSlot","","","","","","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterFeetSlot","Button","PaperDollFrame","","","","","TOPLEFT","CharacterLegsSlot","BOTTOMLEFT","0","-4","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterFeetSlotCooldown","Model","CharacterFeetSlot","","","","","","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterFinger0Slot","Button","PaperDollFrame","","","","","TOPLEFT","CharacterFeetSlot","BOTTOMLEFT","0","-4","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterFinger0SlotCooldown","Model","CharacterFinger0Slot","","","","","","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterFinger1Slot","Button","PaperDollFrame","","","","","TOPLEFT","CharacterFinger0Slot","BOTTOMLEFT","0","-4","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterFinger1SlotCooldown","Model","CharacterFinger1Slot","","","","","","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterTrinket0Slot","Button","PaperDollFrame","","","","","TOPLEFT","CharacterFinger1Slot","BOTTOMLEFT","0","-4","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterTrinket0SlotCooldown","Model","CharacterTrinket0Slot","","","","","","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterTrinket1Slot","Button","PaperDollFrame","","","","","TOPLEFT","CharacterTrinket0Slot","BOTTOMLEFT","0","-4","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterTrinket1SlotCooldown","Model","CharacterTrinket1Slot","","","","","","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterMainHandSlot","Button","PaperDollFrame","","","","","TOPLEFT","","BOTTOMLEFT","122","127","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterMainHandSlotCooldown","Model","CharacterMainHandSlot","","","","","","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterSecondaryHandSlot","Button","PaperDollFrame","","","","","TOPLEFT","CharacterMainHandSlot","TOPRIGHT","5","0","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterSecondaryHandSlotCooldown","Model","CharacterSecondaryHandSlot","","","","","","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterRangedSlot","Button","PaperDollFrame","","","","","TOPLEFT","CharacterSecondaryHandSlot","TOPRIGHT","5","0","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterRangedSlotCooldown","Model","CharacterRangedSlot","","","","","","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterAmmoSlot","Button","PaperDollFrame","","","27","27","LEFT","CharacterRangedSlot","RIGHT","15","0","Interface\Buttons\UI-Quickslot2.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\Buttons\UI-Quickslot2.blp","",""
"character-frame","CharacterAmmoSlot/Texture","Texture","CharacterAmmoSlot","","","41","41","CENTER","","","0","0","Interface\PaperdollInfoFrame\UI-Character-AmmoSlot.blp","","","","","BACKGROUND","","","","","","","0|0|0.640625|0.640625","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperdollInfoFrame\UI-Character-AmmoSlot.blp","",""
"character-frame","CharacterAmmoSlotIconTexture","Texture","CharacterAmmoSlot","","","","","","","","","","","","","","","BORDER","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterAmmoSlot/Texture","Texture","CharacterAmmoSlot","","","23","41","CENTER","","","-22","0","Interface\PaperdollInfoFrame\UI-Character-AmmoSlot.blp","","","","","OVERLAY","","","","","","","0.640625|0|1.0|0.640625","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperdollInfoFrame\UI-Character-AmmoSlot.blp","",""
"character-frame","CharacterAmmoSlotCooldown","Model","CharacterAmmoSlot","","","","","","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterAmmoSlotNormalTexture","NormalTexture","CharacterAmmoSlot","","","47","47","CENTER","","","0","-1","Interface\Buttons\UI-Quickslot2.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\Buttons\UI-Quickslot2.blp","",""
"character-frame","CharacterAmmoSlot/PushedTexture","PushedTexture","CharacterAmmoSlot","","","","","","","","","","Interface\Buttons\UI-Quickslot-Depress.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\Buttons\UI-Quickslot-Depress.blp","",""
"character-frame","CharacterAmmoSlot/HighlightTexture","HighlightTexture","CharacterAmmoSlot","","","","","","","","","","Interface\Buttons\ButtonHilight-Square.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\Buttons\ButtonHilight-Square.blp","",""
