frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,playbackRate,lastAnimChoice,wireSentThisTick
31,0.506517,0.018222,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.5685962,,,,1,0->0:Exact,NONE
32,0.524739,0.015152,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.583748,,,,1,0->0:Exact,NONE
33,0.539891,0.017949,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.60169667,,,,1,0->0:Exact,NONE
34,0.557840,0.017442,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.61913824,,,,1,0->0:Exact,NONE
35,0.575281,0.015974,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.63511246,,,,1,0->0:Exact,NONE
36,0.591255,0.016654,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.65176636,,,,1,0->0:Exact,NONE
37,0.607909,0.016750,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.66851646,,,,1,0->0:Exact,NONE
38,0.624659,0.016692,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.68520814,,,,1,0->0:Exact,NONE
39,0.641351,0.015223,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.70043063,,,,1,0->0:Exact,NONE
40,0.656574,0.016756,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.7171866,,,,1,0->0:Exact,NONE
41,0.673330,0.016801,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.7339872,,,,1,0->0:Exact,NONE
42,0.690130,0.016580,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.7505676,,,,1,0->0:Exact,NONE
43,0.706711,0.018318,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.76888514,,,,1,0->0:Exact,NONE
44,0.725028,0.016241,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.78512573,,,,1,0->0:Exact,NONE
45,0.741269,0.016803,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.80192906,,,,1,0->0:Exact,NONE
46,0.758072,0.016660,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.81858885,,,,1,0->0:Exact,NONE
47,0.774732,0.016638,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.8352271,,,,1,0->0:Exact,NONE
48,0.791370,0.016819,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.8520459,,,,1,0->0:Exact,NONE
49,0.808189,0.017041,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.8690867,,,,1,0->0:Exact,NONE
50,0.825230,0.014895,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.88398206,,,,1,0->0:Exact,NONE
51,0.840125,0.016688,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.9006702,,,,1,0->0:Exact,NONE
52,0.856813,0.016906,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.9175762,,,,1,0->0:Exact,NONE
53,0.873719,0.017988,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.9355638,,,,1,0->0:Exact,NONE
54,0.891707,0.016978,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.95254153,,,,1,0->0:Exact,NONE
55,0.908684,0.017040,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.96958154,,,,1,0->0:Exact,NONE
56,0.925724,0.015953,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.985535,,,,1,0->0:Exact,NONE
57,0.941678,0.016709,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.0022439,,,,1,0->0:Exact,NONE
58,0.958387,0.016581,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.0188252,,,,1,0->0:Exact,NONE
59,0.974968,0.015313,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.0341384,,,,1,0->0:Exact,NONE
60,0.990281,0.018225,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.052363,,,,1,0->0:Exact,NONE
61,1.008506,0.015129,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.0674921,,,,1,0->0:Exact,NONE
62,1.023635,0.017953,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.0854453,,,,1,0->0:Exact,NONE
63,1.041588,0.016555,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.1020007,,,,1,0->0:Exact,NONE
64,1.058144,0.015705,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.1177061,,,,1,0->0:Exact,NONE
65,1.073849,0.018112,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.1358184,,,,1,0->0:Exact,NONE
66,1.091961,0.016443,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.1522609,,,,1,0->0:Exact,NONE
67,1.108404,0.016738,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.1689991,,,,1,0->0:Exact,NONE
68,1.125142,0.016298,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.1852965,,,,1,0->0:Exact,NONE
69,1.141440,0.015515,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.2008114,,,,1,0->0:Exact,NONE
70,1.156954,0.018348,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.2191598,,,,1,0->0:Exact,NONE
71,1.175303,0.016467,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.2356267,,,,1,0->0:Exact,NONE
72,1.191770,0.015316,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.2509423,,,,1,0->0:Exact,NONE
73,1.207085,0.020327,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,1.2712692,,,,1,0->0:Exact,NONE
