frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,playbackRate,lastAnimChoice,wireSentThisTick
30,0.500000,0.016667,-8947.407,-135.05016,83.68272,0,0,0,7,0,-0.7852926,fwd|strafeR,true,0,0,5,Run,0.5207998,1.008,5->5:Exact,NONE
31,0.516667,0.016667,-8947.325,-135.13264,83.685844,0,0,0,7,0,-0.78531885,fwd|strafeR,true,0,0,5,Run,0.5375998,1.008,5->5:Exact,NONE
32,0.533333,0.016667,-8947.243,-135.21513,83.68897,0,0,0,7,0,-0.7853389,fwd|strafeR,true,0,0,5,Run,0.5543998,1.008,5->5:Exact,NONE
33,0.550000,0.016667,-8947.161,-135.29762,83.69211,0,0,0,7,0,-0.78535366,fwd|strafeR,true,0,0,5,Run,0.5711998,1.008,5->5:Exact,NONE
34,0.566667,0.016667,-8947.079,-135.38011,83.695244,0,0,0,7,0,-0.7853646,fwd|strafeR,true,0,0,5,Run,0.58799976,1.008,5->5:Exact,NONE
35,0.583333,0.016667,-8946.997,-135.4626,83.69839,0,0,0,7,0,-0.7853732,fwd|strafeR,true,0,0,5,Run,0.60479975,1.008,5->5:Exact,NONE
36,0.600000,0.016667,-8946.915,-135.54509,83.70153,0,0,0,7,0,-0.7853794,fwd|strafeR,true,0,0,5,Run,0.62159973,1.008,5->5:Exact,NONE
37,0.616667,0.016667,-8946.833,-135.62758,83.70467,0,0,0,7,0,-0.7853842,fwd|strafeR,true,0,0,5,Run,0.6383997,1.008,5->5:Exact,NONE
38,0.633333,0.016667,-8946.751,-135.71007,83.70784,0,0,0,7,0,-0.7853875,fwd|strafeR,true,0,0,5,Run,0.6551997,1.008,5->5:Exact,NONE
39,0.650000,0.016667,-8946.669,-135.79256,83.71098,0,0,0,7,0,-0.7853904,fwd|strafeR,true,0,0,5,Run,0.6719997,1.008,5->5:Exact,NONE
40,0.666667,0.016667,-8946.587,-135.87505,83.71416,0,0,0,7,0,-0.7853923,fwd|strafeR,true,0,0,5,Run,0.6887997,1.008,5->5:Exact,NONE
41,0.683333,0.016667,-8946.505,-135.95753,83.717316,0,0,0,7,0,-0.7853937,fwd|strafeR,true,0,0,5,Run,0.70559967,1.008,5->5:Exact,NONE
42,0.700000,0.016667,-8946.423,-136.04002,83.72049,0,0,0,7,0,-0.78539467,fwd|strafeR,true,0,0,5,Run,0.72239965,1.008,5->5:Exact,NONE
43,0.716667,0.016667,-8946.341,-136.12251,83.72365,0,0,0,7,0,-0.7853956,fwd|strafeR,true,0,0,5,Run,0.73919964,1.008,5->5:Exact,NONE
44,0.733333,0.016667,-8946.259,-136.205,83.72683,0,0,0,7,0,-0.7853961,fwd|strafeR,true,0,0,5,Run,0.7559996,1.008,5->5:Exact,NONE
45,0.750000,0.016667,-8946.177,-136.28749,83.73001,0,0,0,7,0,-0.7853966,fwd|strafeR,true,0,0,5,Run,0.7727996,1.008,5->5:Exact,NONE
46,0.766667,0.016667,-8946.095,-136.36998,83.73319,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,0.7895996,1.008,5->5:Exact,NONE
47,0.783333,0.016667,-8946.013,-136.45247,83.736374,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,0.8063996,1.008,5->5:Exact,NONE
48,0.800000,0.016667,-8945.931,-136.53496,83.73956,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,0.82319957,1.008,5->5:Exact,NONE
49,0.816667,0.016667,-8945.849,-136.61745,83.74276,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,0.83999956,1.008,5->5:Exact,NONE
50,0.833333,0.016667,-8945.767,-136.69994,83.7428,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,0.85679954,1.008,5->5:Exact,NONE
51,0.850000,0.016667,-8945.685,-136.78242,83.74208,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,0.8735995,1.008,5->5:Exact,NONE
52,0.866667,0.016667,-8945.603,-136.86491,83.741356,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,0.8903995,1.008,5->5:Exact,NONE
53,0.883333,0.016667,-8945.5205,-136.9474,83.74063,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,0.9071995,1.008,5->5:Exact,NONE
54,0.900000,0.016667,-8945.438,-137.02989,83.73988,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,0.9239995,1.008,5->5:Exact,NONE
55,0.916667,0.016667,-8945.356,-137.11238,83.73912,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,0.9407995,1.008,5->5:Exact,NONE
56,0.933333,0.016667,-8945.274,-137.19487,83.73836,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,0.95759946,1.008,5->5:Exact,NONE
57,0.950000,0.016667,-8945.192,-137.27736,83.73758,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,0.97439945,1.008,5->5:Exact,NONE
58,0.966667,0.016667,-8945.11,-137.35985,83.736786,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,0.99119943,1.008,5->5:Exact,NONE
59,0.983333,0.016667,-8945.028,-137.44234,83.736,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.0079994,1.008,5->5:Exact,NONE
60,1.000000,0.016667,-8944.946,-137.52483,83.73382,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.0247995,1.008,5->5:Exact,NONE
61,1.016667,0.016667,-8944.864,-137.60732,83.72847,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.0415995,1.008,5->5:Exact,NONE
62,1.033333,0.016667,-8944.782,-137.6898,83.72316,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.0583996,1.008,5->5:Exact,NONE
63,1.050000,0.016667,-8944.7,-137.7723,83.71789,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.0751996,1.008,5->5:Exact,NONE
64,1.066667,0.016667,-8944.618,-137.85478,83.71264,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.0919997,1.008,5->5:Exact,NONE
65,1.083333,0.016667,-8944.536,-137.93727,83.70743,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.1087997,1.008,5->5:Exact,NONE
66,1.100000,0.016667,-8944.454,-138.01976,83.702255,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.1255997,1.008,5->5:Exact,NONE
67,1.116667,0.016667,-8944.372,-138.10225,83.69711,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.1423998,1.008,5->5:Exact,NONE
68,1.133333,0.016667,-8944.29,-138.18474,83.69202,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.1591998,1.008,5->5:Exact,NONE
69,1.150000,0.016667,-8944.208,-138.26723,83.68694,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.1759999,1.008,5->5:Exact,NONE
70,1.166667,0.016667,-8944.126,-138.34972,83.6819,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.1927999,1.008,5->5:Exact,NONE
71,1.183333,0.016667,-8944.044,-138.4322,83.676895,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.2096,1.008,5->5:Exact,NONE
72,1.200000,0.016667,-8943.962,-138.5147,83.67193,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.2264,1.008,5->5:Exact,NONE
73,1.216667,0.016667,-8943.88,-138.59718,83.666985,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.2432001,1.008,5->5:Exact,NONE
74,1.233333,0.016667,-8943.798,-138.67967,83.662094,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.2600001,1.008,5->5:Exact,NONE
75,1.250000,0.016667,-8943.716,-138.76216,83.65723,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.2768002,1.008,5->5:Exact,NONE
76,1.266667,0.016667,-8943.634,-138.84465,83.65239,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.2936002,1.008,5->5:Exact,NONE
77,1.283333,0.016667,-8943.552,-138.92714,83.6476,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.3104002,1.008,5->5:Exact,NONE
78,1.300000,0.016667,-8943.47,-139.00963,83.64283,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.3272003,1.008,5->5:Exact,NONE
79,1.316667,0.016667,-8943.388,-139.09212,83.6381,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.3440003,1.008,5->5:Exact,NONE
80,1.333333,0.016667,-8943.306,-139.1746,83.6334,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.3608004,1.008,5->5:Exact,NONE
81,1.350000,0.016667,-8943.224,-139.2571,83.62874,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.3776004,1.008,5->5:Exact,NONE
82,1.366667,0.016667,-8943.142,-139.33958,83.62412,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.3944005,1.008,5->5:Exact,NONE
83,1.383333,0.016667,-8943.06,-139.42207,83.619514,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.4112005,1.008,5->5:Exact,NONE
84,1.400000,0.016667,-8942.978,-139.50456,83.61496,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.4280006,1.008,5->5:Exact,NONE
85,1.416667,0.016667,-8942.8955,-139.58705,83.610435,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.4448006,1.008,5->5:Exact,NONE
86,1.433333,0.016667,-8942.813,-139.66954,83.60594,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.4616007,1.008,5->5:Exact,NONE
87,1.450000,0.016667,-8942.731,-139.75203,83.601494,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.4784007,1.008,5->5:Exact,NONE
88,1.466667,0.016667,-8942.649,-139.83452,83.59707,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.4952008,1.008,5->5:Exact,NONE
89,1.483333,0.016667,-8942.567,-139.917,83.592674,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.5120008,1.008,5->5:Exact,NONE
90,1.500000,0.016667,-8942.485,-139.9995,83.58833,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.5288008,1.008,5->5:Exact,NONE
91,1.516667,0.016667,-8942.403,-140.08199,83.58401,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.5456009,1.008,5->5:Exact,NONE
92,1.533333,0.016667,-8942.321,-140.16447,83.57973,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.5624009,1.008,5->5:Exact,NONE
93,1.550000,0.016667,-8942.239,-140.24696,83.57547,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.579201,1.008,5->5:Exact,NONE
94,1.566667,0.016667,-8942.157,-140.32945,83.57126,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.596001,1.008,5->5:Exact,NONE
95,1.583333,0.016667,-8942.075,-140.41194,83.56706,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.6128011,1.008,5->5:Exact,NONE
96,1.600000,0.016667,-8941.993,-140.49443,83.56291,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.6296011,1.008,5->5:Exact,NONE
97,1.616667,0.016667,-8941.911,-140.57692,83.55881,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.6464012,1.008,5->5:Exact,NONE
98,1.633333,0.016667,-8941.829,-140.65941,83.55473,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.6632012,1.008,5->5:Exact,NONE
99,1.650000,0.016667,-8941.747,-140.7419,83.55069,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.6800013,1.008,5->5:Exact,NONE
100,1.666667,0.016667,-8941.665,-140.82439,83.54663,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.6968013,1.008,5->5:Exact,NONE
