name,measured,currentMin,currentMax,currentResult,vanillaMin,vanillaMax,vanillaResult,citation
maxSpeed,7,6.95,7.05,PASS,6.95,7.05,PASS,normalized diagonal equals pure run axis +/-0.05
stopDistance,0,0,0.05,PASS,0,0.05,PASS,instant stop
stallWindows,0,0,0,PASS,0,0,PASS,no stalls
hardCuts,1,1,1,PASS,0,0,FAIL,every legacy transition entering below blend window without observable clipB
substitutedEvents,0,0,0,PASS,0,0,PASS,no substitutions
