frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,playbackRate,lastAnimChoice,wireSentThisTick
33,0.550000,0.016667,-8952.507,-132.493,83.34055,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.0199995,1.8,13->13:Exact,NONE
34,0.566667,0.016667,-8952.582,-132.493,83.334946,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.0499995,1.8,13->13:Exact,NONE
35,0.583333,0.016667,-8952.657,-132.493,83.329346,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.0799994,1.8,13->13:Exact,NONE
36,0.600000,0.016667,-8952.732,-132.493,83.32373,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.1099994,1.8,13->13:Exact,NONE
37,0.616667,0.016667,-8952.808,-132.493,83.31813,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.1399994,1.8,13->13:Exact,NONE
38,0.633333,0.016667,-8952.883,-132.493,83.31253,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.1699994,1.8,13->13:Exact,NONE
39,0.650000,0.016667,-8952.958,-132.493,83.306915,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.1999993,1.8,13->13:Exact,NONE
40,0.666667,0.016667,-8953.033,-132.493,83.301315,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.2299993,1.8,13->13:Exact,NONE
41,0.683333,0.016667,-8953.108,-132.493,83.29571,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.2599993,1.8,13->13:Exact,NONE
42,0.700000,0.016667,-8953.184,-132.493,83.2901,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.2899992,1.8,13->13:Exact,NONE
43,0.716667,0.016667,-8953.259,-132.493,83.2845,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.3199992,1.8,13->13:Exact,NONE
44,0.733333,0.016667,-8953.334,-132.493,83.27889,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.3499992,1.8,13->13:Exact,NONE
45,0.750000,0.016667,-8953.409,-132.493,83.273285,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.3799992,1.8,13->13:Exact,NONE
46,0.766667,0.016667,-8953.484,-132.493,83.267685,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.4099991,1.8,13->13:Exact,NONE
47,0.783333,0.016667,-8953.56,-132.493,83.26207,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.4399991,1.8,13->13:Exact,NONE
