name,measured,currentMin,currentMax,currentResult,vanillaMin,vanillaMax,vanillaResult,citation
jumpApexHeight,1.57473,1.57,1.58,PASS,1.544727,1.604727,PASS,symplectic z[n]=z[n-1]+(v0-n*g*dt)*dt +/-0.03
jumpApexTime,0.383333,0.38,0.39,PASS,0.366333,0.400333,PASS,symplectic max sample relative to first airborne row +/-one tick
jumpAirtime,0.8,0.79,0.81,PASS,0.766,0.834,PASS,symplectic first return sample +/-0.034
gravity,19.291112,,,N/A,19.2901,19.2921,PASS,airborne velZ slope; benilla state.rs g=19.2911 +/-0.001
jumpVelocity,7.9558,,,N/A,7.9548,7.9568,PASS,first airborne velZ + g*dt; benilla state.rs v0=7.9558 +/-0.001
stallWindows,0,0,0,PASS,0,0,PASS,no stalls
phaseResets,0,0,0,PASS,-999,999,N/A,diagnostic only
substitutedEvents,0,0,0,PASS,0,0,PASS,no substitutions
