step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\P1-C-live-wild-20260731-203000.txt
1,PASS,move-trace start P1-C-live-wild-position-20260731-203000
2,PASS,gm .gm off
3,PASS,wait 0.5
4,PASS,gm .gm
5,PASS,wait 0.5
6,PASS,anchor wild-entry-nearest:299 guid=0xF13000012B013849 position=-8982.794|-154.47917|80.445305
7,PASS,wait 0.5
8,PASS,select wild-entry-nearest:299 guid=0xF13000012B013849
9,PASS,wire-trace start path=dumps/wire-20260731-172525.wlog
10,PASS,trace start P1-C-gm-off-live-wild-20260731-203000
11,PASS,attack start
12,PASS,wait 3
13,PASS,attack stop
14,PASS,wait 0.1
15,PASS,trace stop
16,PASS,wire-trace stop
17,PASS,move-trace stop
