[combat] time=0.222 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x0096;bytes=86;hex=0A0000000000000000000000004400000057656C636F6D6520746F20576F726C64206F66205761726372616674210A506174636820312E31323A204472756D73206F6620576172206973206E6F77206C697665210000
[anim] time=7.233 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.233 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.233 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=7.249 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=7.249 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=7.249 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.249 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.249 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=7.249 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.249 unit=creature:3167 track=0 requested=0 played=0 kind=Exact
[anim] time=7.249 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.249 unit=creature:3167 track=0 requested=4 played=4 kind=Exact
[anim] time=7.249 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.249 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.249 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.249 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.249 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=7.265 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=7.265 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=7.265 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.265 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.265 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=7.265 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.266 unit=creature:3167 track=0 requested=0 played=0 kind=Exact
[anim] time=7.266 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.266 unit=creature:3167 track=0 requested=4 played=4 kind=Exact
[anim] time=7.266 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.266 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.266 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.266 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.266 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=7.282 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=7.282 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=7.282 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.282 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.282 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.282 unit=creature:3167 track=0 requested=0 played=0 kind=Exact
[anim] time=7.282 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.282 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.282 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.282 unit=creature:3167 track=0 requested=4 played=4 kind=Exact
[anim] time=7.282 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.282 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.282 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.282 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.299 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=7.299 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=7.299 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.299 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.299 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.299 unit=creature:3167 track=0 requested=0 played=0 kind=Exact
[anim] time=7.299 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.299 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=7.299 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=7.299 unit=creature:3167 track=0 requested=4 played=4 kind=Exact
[anim] time=7.299 unit=creature:447 track=0 requested=0 played=0 kind=Exact
