panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource
"multi-action-bar","MultiBarBottomLeft","Frame","","0","0","500","38","BOTTOMLEFT","ActionButton1","TOPLEFT","0","17","","","","","","","HIGH","","","","","","","MSUI:actual-draw-path","",""
"multi-action-bar","MultiBarBottomLeftButton1","CheckButton","MultiBarBottomLeft","0","2","36","36","BOTTOMLEFT","","","0","0","Interface\Buttons\UI-Quickslot2.blp","","","","","","HIGH","","","","","","","MSUI:actual-draw-path","interface.MPQ:Interface\Buttons\UI-Quickslot2.blp",""
"multi-action-bar","MultiBarBottomLeftButton1Icon","Texture","MultiBarBottomLeftButton1","0","2","36","36","","","","","","","","","","","BACKGROUND","HIGH","","","","","","","MSUI:actual-draw-path","",""
"multi-action-bar","MultiBarBottomLeftButton1HotKey","FontString","MultiBarBottomLeftButton1","-2","4","36","10","TOPLEFT","","","-2","-2","","NumberFontNormalSmallGray","Fonts\ARIALN.TTF","12","#999999FF","ARTWORK","HIGH","","","","","","","MSUI:actual-draw-path","","fonts.MPQ:Fonts\ARIALN.TTF"
"multi-action-bar","MultiBarBottomLeftButton1NormalTexture","NormalTexture","MultiBarBottomLeftButton1","-15","-12","66","66","CENTER","","","0","-1","Interface\Buttons\UI-Quickslot2.blp","","","","","","HIGH","","","","","","","MSUI:actual-draw-path","interface.MPQ:Interface\Buttons\UI-Quickslot2.blp",""
