path,mpq_status,supplier,bytes,parse_status,valid_mesh,vertices,indices,emitters,batches,textures,diagnosis
"Spells\AmplifyMagic_Impact_Base.m2",PRESENT,"patch.MPQ",18672,"PARSED",True,56,84,3,13,3,DRAWABLE
"Spells\ArcaneExplosion_Base.m2",PRESENT,"patch.MPQ",107696,"PARSED",True,986,3690,1,6,5,DRAWABLE
"Spells\ArcaneExplosion_Impact_Chest.m2",PRESENT,"patch.MPQ",8048,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\ArcaneIntellect_Impact_Base.m2",PRESENT,"patch.MPQ",21744,"PARSED",True,72,108,0,6,6,DRAWABLE
"Spells\ArcaneSpirit_Impact_Base.m2",PRESENT,"patch.MPQ",8464,"PARSED",True,28,42,1,5,3,DRAWABLE
"spells\blink_impact_chest.m2",PRESENT,"patch.MPQ",12736,"PARSED",True,4,6,9,1,6,DRAWABLE
"Spells\Blizzard_Impact_Base.m2",PRESENT,"patch.MPQ",18784,"PARSED",True,73,150,5,6,5,DRAWABLE
"Spells\Clearcasting_Impact_Chest.m2",PRESENT,"patch.MPQ",5760,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\ConeofCold_Hand.m2",PRESENT,"patch.MPQ",14480,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\ConjureItemCast.m2",PRESENT,"patch.MPQ",4848,"PARSED",True,4,6,2,1,3,DRAWABLE
"Spells\CounterSpell_Impact_Chest.m2",PRESENT,"patch.MPQ",11440,"PARSED",True,28,42,3,1,3,DRAWABLE
"Spells\CycloneWater_State.m2",PRESENT,"patch.MPQ",16608,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\DetectMagic_Base.m2",PRESENT,"patch.MPQ",27280,"PARSED",True,64,96,4,4,6,DRAWABLE
"Spells\Fire_Cast_Hand.m2",PRESENT,"patch.MPQ",4672,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\Fire_ImpactDD_Chest.m2",PRESENT,"patch.MPQ",5760,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\Fire_Precast_Hand.m2",PRESENT,"patch.MPQ",6704,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\Fire_Precast_Low_Hand.m2",PRESENT,"patch.MPQ",3600,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\Fireball_Missile_Low.m2",PRESENT,"patch.MPQ",12480,"PARSED",True,51,156,3,2,5,DRAWABLE
"Spells\FireWard_Impact_Chest.m2",PRESENT,"patch.MPQ",13344,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\Frost_Nova_area.m2",PRESENT,"patch.MPQ",6128,"PARSED",True,12,18,1,3,4,DRAWABLE
"Spells\FrostArmor_Low_Head.m2",PRESENT,"patch.MPQ",42080,"PARSED",True,359,528,8,4,7,DRAWABLE
"Spells\Frostbolt.m2",PRESENT,"patch.MPQ",23088,"PARSED",True,187,246,3,2,5,DRAWABLE
"Spells\FrostWard_Impact_Chest.m2",PRESENT,"patch.MPQ",12752,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\Holy_Precast_Low_Hand.m2",PRESENT,"patch.MPQ",7952,"PARSED",True,8,12,0,2,3,DRAWABLE
"Spells\HolyLight_Impact_Head.m2",PRESENT,"patch.MPQ",9200,"PARSED",True,4,6,6,1,4,DRAWABLE
"Spells\Ice_ImpactDD_Med_Chest.m2",PRESENT,"patch.MPQ",32752,"PARSED",True,8,12,28,2,8,DRAWABLE
"Spells\Ice_Precast_Low_Hand.m2",PRESENT,"patch.MPQ",7632,"PARSED",True,16,24,3,2,5,DRAWABLE
"Spells\Ice_Precast_Med_Hand.m2",PRESENT,"patch.MPQ",9312,"PARSED",True,20,30,4,2,6,DRAWABLE
"Spells\Ice_Precast_Uber_Head.m2",PRESENT,"patch.MPQ",3584,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\IceArmor_Low_Head.m2",PRESENT,"patch.MPQ",42224,"PARSED",True,359,528,8,4,7,DRAWABLE
"Spells\Immolate_Impact_Chest.m2",PRESENT,"patch.MPQ",4704,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\Immolate_State_Base.m2",PRESENT,"patch.MPQ",4000,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\Lightning_PreCast_Low_Hand.m2",PRESENT,"patch.MPQ",25024,"PARSED",True,116,270,0,3,4,DRAWABLE
"Spells\MageArmor_Impact_Head.m2",PRESENT,"patch.MPQ",18288,"PARSED",True,48,228,4,4,7,DRAWABLE
"Spells\Magic_Cast_Hand.m2",PRESENT,"patch.MPQ",8832,"PARSED",True,16,24,3,1,4,DRAWABLE
"Spells\Magic_PreCast_Hand.m2",PRESENT,"patch.MPQ",6112,"PARSED",True,8,12,2,1,2,DRAWABLE
"Spells\ManaShield_State_Base.m2",PRESENT,"patch.MPQ",6080,"PARSED",True,12,18,0,3,3,DRAWABLE
"Spells\MoltenBlast_Impact_Chest.m2",PRESENT,"patch.MPQ",7936,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\Polymorph_Impact_Base.m2",PRESENT,"patch.MPQ",6608,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"spells\presenceofmind_cast_base.m2",PRESENT,"patch.MPQ",5280,"PARSED",True,12,18,0,3,1,DRAWABLE
"Spells\RemoveCurse_Base.m2",PRESENT,"patch.MPQ",26144,"PARSED",True,64,96,3,4,8,DRAWABLE
"Spells\RitualSummoning_PreCast_Base.m2",PRESENT,"patch.MPQ",9088,"PARSED",True,16,24,2,4,2,DRAWABLE
"Spells\Scorch_Low_Chest.m2",PRESENT,"patch.MPQ",20864,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
"Spells\Shadow_Precast_Low_Hand.m2",PRESENT,"patch.MPQ",4720,"NULL",False,0,0,0,0,0,LOAD-PARSE-FAILED
