step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\T3-isolation-probe3-20260731-160000.txt
1,PASS,gm .go xyz -8868.563 -73.35294 83.88168 0
2,PASS,wait 3
3,PASS,gm .gm off
4,PASS,wait 1
5,PASS,gm .npc spawn add 6
6,PASS,wait 1
7,FAIL,select spawn:1 guid=0x0000000000000000
8,FAIL,assert within3=true
9,PASS,gm .npc info
10,PASS,wait 1
11,PASS,trace start T3-isolation-probe3-20260731-160000
12,PASS,attack start
13,PASS,wait 10
14,PASS,attack stop
15,PASS,trace stop
16,PASS,gm .npc spawn delete
17,PASS,wait 1
18,FAIL,waitgone spawn:1 guid=0x0000000000000000 descriptorPresent=True
