panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource
"party-frame","PartyMemberFrame1","Button","","0","0","128","53","TOPLEFT","","","10","-128","","","","","","","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrame.xml","",""
"party-frame","PartyMemberFrame1Portrait","Texture","PartyMemberFrame1","7","6","37","37","TOPLEFT","","","7","-6","","","","","","BACKGROUND","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","",""
"party-frame","PartyMemberFrame1/Frame/FrameTexture","Texture","PartyMemberFrame1/Frame/Frame","0","2","128","64","TOPLEFT","","","0","-2","Interface\TargetingFrame\UI-PartyFrame.blp","","","","","BACKGROUND","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","interface.MPQ:Interface\TargetingFrame\UI-PartyFrame.blp",""
"party-frame","PartyMemberFrame1HealthBar","StatusBar","PartyMemberFrame1","47","12","70","8","TOPLEFT","","","47","-12","Interface\TargetingFrame\UI-StatusBar.blp","","","","","","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","interface.MPQ:Interface\TargetingFrame\UI-StatusBar.blp",""
"party-frame","PartyMemberFrame1ManaBar","StatusBar","PartyMemberFrame1","47","21","70","8","TOPLEFT","","","47","-21","Interface\TargetingFrame\UI-StatusBar.blp","","","","","","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","interface.MPQ:Interface\TargetingFrame\UI-StatusBar.blp",""
"party-frame","PartyMemberFrame1PetFrame","Button","PartyMemberFrame1","20","47","64","26","TOPLEFT","","","20","-47","","","","","","","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","",""
