time,character,unit_guid,slot,spell_id,name,event,helpful,cancelable,stacks,duration_ms,remaining_ms,display,source
0.580,"Test",0x0000000000000001,0,2457,"Battle Stance",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.581,"Test",0x0000000000000001,1,16380,"Greater Invisibility",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.598,"Test",0xF13000195B015407,0,10848,"Shroud of Death",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.598,"Test",0xF13000195B015407,32,9036,"Ghost",APPLY,False,False,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.065,"Test",0x0000000000000001,0,1243,"Power Word: Fortitude",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.075,"Test",0x0000000000000001,0,1243,"Power Word: Fortitude",DURATION,True,True,1,120000,120000,ICON_VISIBLE,SMSG_UPDATE_AURA_DURATION
3.085,"Test",0x0000000000000001,0,1243,"Power Word: Fortitude",STACK,True,True,3,120000,119990,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.093,"Test",0x0000000000000001,0,1243,"Power Word: Fortitude",CANCEL_SEND,True,True,3,120000,119982,ICON_VISIBLE,SYNTHETIC_WIRE_REPLAY
3.102,"Test",0x0000000000000001,0,1243,"Power Word: Fortitude",REMOVE,True,True,3,120000,119973,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.110,"Test",0x0000000000000001,32,172,"Corruption",APPLY,False,False,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.118,"Test",0x0000000000000001,32,172,"Corruption",STACK,False,False,2,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.126,"Test",0x0000000000000001,32,172,"Corruption",CANCEL_BLOCKED,False,False,2,0,0,ICON_VISIBLE,SYNTHETIC_WIRE_REPLAY
3.134,"Test",0x0000000000000001,32,172,"Corruption",REMOVE,False,False,2,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
5.222,"Test",0x0000000000000001,1,16380,"Greater Invisibility",DURATION,True,True,1,1800000,1800000,ICON_VISIBLE,SMSG_UPDATE_AURA_DURATION
5.240,"Test",0x0000000000000001,1,16380,"Greater Invisibility",REMOVE,True,True,1,1800000,1799982,ICON_VISIBLE,SMSG_UPDATE_OBJECT
5.240,"Test",0x0000000000000001,1,1243,"Power Word: Fortitude",APPLY,True,True,1,1800000,1799982,ICON_VISIBLE,SMSG_UPDATE_OBJECT
7.231,"Test",0x0000000000000001,1,1243,"Power Word: Fortitude",CANCEL_SEND,True,True,1,1800000,1797991,ICON_VISIBLE,PROTOCOL_RUNNER
7.314,"Test",0x0000000000000001,1,1243,"Power Word: Fortitude",REMOVE,True,True,1,1800000,1797908,ICON_VISIBLE,SMSG_UPDATE_OBJECT
