step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\world\gameobjects-live.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .gm on
4,PASS,gm .help go object
5,PASS,waitfor GmChatResponse
6,PASS,gm .learn 2366
7,PASS,gm .setskill 182 300 300
8,PASS,wait 5
9,PASS,gameobject snapshot
10,PASS,select object-type-nearest:7 guid=0xF110025196006863
11,PASS,gm-to-selection command=.go xyz -8917.3 -164.075 81.9261 0
12,PASS,wait 4
13,PASS,select object-type-nearest:7 guid=0xF110025196006863
14,PASS,gm .gm off
15,PASS,gameobject use
16,PASS,probe-interface gameobject response blocked
17,PASS,gm .gm on
18,PASS,select self guid=0x0000000000000001
19,PASS,gm .gm off
20,PASS,gameobject simulate
21,PASS,assert family=gameobject step=replay-use outcome=SERVER_EFFECT
22,PASS,assert family=gameobject step=profession-prerequisite outcome=PRESENT
23,PASS,assert family=gameobject step=page outcome=DECODED
24,PASS,dump n1c-gameobjects-ui
25,PASS,wait 2
26,PASS,gm .gps
27,PASS,waitfor GmChatResponse
