step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\G2-positive-proof-20260731-151200.txt
1,PASS,move-trace start G2-teleport-20260731-151200
2,PASS,gm .gps
3,PASS,wait 2
4,PASS,gm .go xyz -8960.0 -132.493 83.53 0
5,PASS,wait 4
6,PASS,gm .gps
7,PASS,wait 2
8,PASS,gm .go xyz -8949.95 -132.493 83.5312 0
9,PASS,wait 4
10,PASS,gm .npc add 6
11,PASS,wait 3
12,FAIL,select spawn:1 guid=0x0000000000000000
13,PASS,gm .gps
14,PASS,wait 2
15,PASS,gm .die
16,PASS,wait 3
17,FAIL,waitdeath spawn:1 guid=0x0000000000000000 health=0
18,PASS,wait 1
19,PASS,gm .npc delete
20,PASS,wait 2
21,PASS,move-trace stop
