step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\world\death-rez-live.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .gm on
4,PASS,select self guid=0x0000000000000001
5,PASS,gm .die
6,PASS,wait 3
7,PASS,death-rez snapshot
8,PASS,assert family=death-rez step=life-state outcome=DEAD
9,PASS,gm .gm off
10,PASS,death-rez repop
11,PASS,wait 4
12,PASS,death-rez snapshot
13,PASS,gm .gm on
14,PASS,gm .revive
15,PASS,wait 3
16,PASS,death-rez snapshot
17,PASS,death-rez simulate
18,PASS,assert family=death-rez step=reclaim-delay outcome=DISPLAYED
19,PASS,assert family=death-rez step=resurrect-request outcome=DISPLAYED
20,PASS,assert family=death-rez step=spirit-healer outcome=SERVER_ACCEPTED
21,PASS,assert family=death-rez step=durability outcome=DAMAGED
22,PASS,dump n1c-death-rez-ui
23,PASS,wait 2
24,PASS,gm .gm off
25,PASS,gm .gps
26,PASS,waitfor GmChatResponse
