time,character,spell_id,name,school,stage,kit_id,authored_animation_id,requested_animation_id,played_animation_id,resolution,renderer_state,moving,legal_while_moving,movement_interrupts,base_animation,previous_base_animation,action_animation,hold_animation,blend_weight,source
0.607,"Test",836,"LOGINEFFECT",PHYSICAL,CAST,127,-1,-1,-1,Missing,"none",False,True,False,"none","none","none","none",1.0000,SERVER_GO
5.427,"Test",1464,"Slam",PHYSICAL,PRECAST,43,56,56,56,BakedOnDemand,"Anim56",True,False,True,"Run","none","none","Anim56",1.0000,SYNTHETIC_DBC_RENDERER
7.803,"Test",1464,"Slam",PHYSICAL,CAST,1664,58,58,58,BakedOnDemand,"Anim58",True,False,True,"Anim56","none","Anim58","none",1.0000,SYNTHETIC_DBC_RENDERER
10.077,"Test",133,"Fireball",FIRE,PRECAST,30,51,51,51,BakedOnDemand,"Anim51",True,False,True,"Anim58","none","Anim58","Anim51",1.0000,SYNTHETIC_DBC_RENDERER
12.423,"Test",133,"Fireball",FIRE,CAST,38,53,53,53,BakedOnDemand,"Anim53",True,False,True,"Anim58","none","Anim53","none",1.0000,SYNTHETIC_DBC_RENDERER
14.682,"Test",116,"Frostbolt",FROST,PRECAST,194,51,51,51,Exact,"Anim51",True,False,True,"Anim53","none","Anim53","Anim51",1.0000,SYNTHETIC_DBC_RENDERER
17.041,"Test",116,"Frostbolt",FROST,CAST,202,53,53,53,Exact,"Anim53",True,False,True,"Anim51","none","Anim53","none",1.0000,SYNTHETIC_DBC_RENDERER
19.328,"Test",1449,"Arcane Explosion",ARCANE,PRECAST,266,52,52,52,BakedOnDemand,"Anim52",True,True,True,"Anim53","none","Anim53","Anim52",1.0000,SYNTHETIC_DBC_RENDERER
21.609,"Test",1449,"Arcane Explosion",ARCANE,CAST,1004,54,54,54,BakedOnDemand,"Anim54",True,True,True,"Anim52","none","Anim54","none",1.0000,SYNTHETIC_DBC_RENDERER
23.933,"Test",635,"Holy Light",HOLY,PRECAST,99,52,52,52,Exact,"Anim52",True,False,True,"Anim54","none","Anim54","Anim52",1.0000,SYNTHETIC_DBC_RENDERER
26.219,"Test",635,"Holy Light",HOLY,CAST,270,54,54,54,Exact,"Anim54",True,False,True,"Anim52","none","Anim54","none",1.0000,SYNTHETIC_DBC_RENDERER
28.614,"Test",5185,"Healing Touch",NATURE,PRECAST,100,52,52,52,Exact,"Anim52",True,False,True,"Anim54","none","Anim54","Anim52",1.0000,SYNTHETIC_DBC_RENDERER
30.924,"Test",5185,"Healing Touch",NATURE,CAST,183,54,54,54,Exact,"Anim54",True,False,True,"Anim52","none","Anim54","none",1.0000,SYNTHETIC_DBC_RENDERER
33.241,"Test",686,"Shadow Bolt",SHADOW,PRECAST,114,51,51,51,Exact,"Anim51",True,False,True,"Anim54","none","Anim54","Anim51",1.0000,SYNTHETIC_DBC_RENDERER
35.635,"Test",686,"Shadow Bolt",SHADOW,CAST,118,53,53,53,Exact,"Anim53",True,False,True,"Anim51","none","Anim53","none",1.0000,SYNTHETIC_DBC_RENDERER
