step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\interfaces\quest-reward-exact-giver-live.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .gm on
4,PASS,gm .npc spawn add 197
5,PASS,wait 2
6,PASS,select entry-nearest:197 guid=0xF1300000C504A2B4
7,PASS,anchor selected guid=0xF1300000C504A2B4 position=-8949.95|-132.493|83.529526
8,PASS,gm .gm off
9,PASS,quest query 783
10,PASS,probe-interface quest details response
11,PASS,gm .gm on
12,PASS,gm .quest complete 783 Dfsgfds
13,PASS,wait 1
14,PASS,gm .gm off
15,PASS,quest complete
16,PASS,probe-interface quest offer response
17,PASS,quest choose 0
18,PASS,wait 3
19,PASS,assert family=quest step=reward outcome=COMPLETED
20,PASS,quest inspect-log
21,PASS,gm .gps
22,PASS,waitfor GmChatResponse
23,PASS,gm .gm on
24,PASS,select entry-nearest:197 guid=0xF1300000C504A2B4
25,PASS,gm .npc spawn delete
26,PASS,gm .gm off
