step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\interfaces\talents-live.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .gm on
4,PASS,select self guid=0x0000000000000001
5,PASS,gm .help reset talents
6,PASS,waitfor GmChatResponse
7,PASS,gm .reset talents
8,PASS,wait 3
9,PASS,gm .npc spawn add 911
10,PASS,wait 2
11,PASS,select spawn:1 guid=0xF13000038F04A2C8
12,PASS,gm .gm off
13,PASS,interact gossip guid=0xF13000038F04A2C8
14,PASS,probe-interface gossip menu response
15,PASS,select self guid=0x0000000000000001
16,PASS,talent open
17,PASS,talent inspect
18,PASS,talent spend-first
19,PASS,wait 4
20,PASS,talent inspect
21,PASS,assert family=talent step=pre-send-gate outcome=PASS
22,PASS,assert family=talent step=server-confirm outcome=CONFIRMED
23,PASS,gm .gm on
24,PASS,select spawn:1 guid=0xF13000038F04A2C8
25,PASS,gm .gm off
26,PASS,interact gossip guid=0xF13000038F04A2C8
27,PASS,probe-interface gossip menu response
28,PASS,gossip select 1
29,PASS,probe-interface talent unlearn-cost blocked
30,PASS,gm .gm on
31,PASS,select spawn:1 guid=0xF13000038F04A2C8
32,PASS,gm .npc spawn delete
33,PASS,select self guid=0x0000000000000001
34,PASS,gm .gm off
35,PASS,talent simulate
36,PASS,assert family=talent step=panel outcome=COMPLETE
37,PASS,assert family=talent step=unlearn-cost outcome=DISPLAYED
38,PASS,dump n1c-talents-ui
39,PASS,wait 2
40,PASS,gm .gps
41,PASS,waitfor GmChatResponse
