step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\spells\test-warrior-slam-castbar.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .gm on
4,PASS,wait 1
5,PASS,gm .modify rage 1000
6,PASS,wait 1
7,PASS,gm .cooldown clear
8,PASS,wait 1
9,PASS,gm .npc spawn add 6
10,PASS,select spawn:1 guid=0xF13000000604A29F
11,PASS,assert event=SpawnObserved
12,PASS,gm .gm off
13,PASS,wait 1
14,PASS,wire-trace start path=dumps/wire-20260801-093403.wlog
15,PASS,socket-trace start n1c-castbar-slam path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-n1c-castbar-slam-20260801-093403.csv
16,PASS,cast 11605
17,FAIL,waitspell SMSG_SPELL_START timeout
18,PASS,spell-blocked F-SILENT-INTERACT
19,PASS,socket-trace stop
20,PASS,wire-trace stop
21,PASS,gm .gps
22,PASS,waitfor GmChatResponse
23,PASS,gm .gm on
24,PASS,wait 1
25,PASS,gm .npc spawn delete
