step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\interfaces\quest-objectives-live.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .gm on
4,PASS,gm .quest add 7 Dfsgfds
5,PASS,wait 1
6,PASS,gm .quest complete 7 Dfsgfds
7,PASS,wait 2
8,PASS,assert family=quest step=objective-kill outcome=UPDATED
9,PASS,gm .quest add 18 Dfsgfds
10,PASS,wait 1
11,PASS,gm .quest complete 18 Dfsgfds
12,PASS,wait 2
13,PASS,assert family=quest step=objective-item outcome=UPDATED
14,PASS,gm .gm off
15,PASS,quest inspect-log
16,PASS,quest abandon 7
17,PASS,wait 1
18,PASS,quest abandon 18
19,PASS,wait 2
20,PASS,gm .gps
21,PASS,waitfor GmChatResponse
