step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\spells\moving-animation-blend-v3.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .gm on
4,PASS,wait 1
5,PASS,press W
6,PASS,wait 1
7,PASS,spell-animation 1449 precast
8,PASS,wait 0.03
9,PASS,spell-animation-sample 1449 precast
10,PASS,dump n1c-anim-moving-v3-arcane-precast
11,PASS,wait 0.35
12,PASS,spell-animation 1449 cast
13,PASS,wait 0.03
14,PASS,spell-animation-sample 1449 cast
15,PASS,dump n1c-anim-moving-v3-arcane-cast
16,PASS,wait 0.35
17,PASS,spell-animation 133 precast
18,PASS,wait 0.03
19,PASS,spell-animation-sample 133 precast
20,PASS,dump n1c-anim-moving-v3-fire-precast
21,PASS,wait 0.35
22,PASS,spell-animation 133 cast
23,PASS,wait 0.03
24,PASS,spell-animation-sample 133 cast
25,PASS,dump n1c-anim-moving-v3-fire-cast
26,PASS,wait 0.35
27,PASS,release W
28,PASS,gm .gps
29,PASS,waitfor GmChatResponse
30,PASS,gm .gm off
