step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\spells\test-warrior-slam-rank1-castbar-v6.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .gm on
4,PASS,wait 1
5,PASS,gm .modify rage 1000
6,PASS,wait 1
7,PASS,gm .cooldown clear
8,PASS,wait 1
9,PASS,gm .npc spawn add 1642
10,PASS,anchor spawn:1 guid=0xF13000066A04A2A4 position=-8949.95|-132.493|83.529526
11,PASS,assert event=SpawnObserved
12,PASS,wait 1
13,PASS,select spawn:1 guid=0xF13000066A04A2A4
14,PASS,gm .gm off
15,PASS,wire-trace start path=dumps/wire-20260801-094803.wlog
16,PASS,socket-trace start n1c-castbar-slam-rank1-v6 path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-n1c-castbar-slam-rank1-v6-20260801-094803.csv
17,PASS,cast 1464
18,FAIL,waitspell SMSG_SPELL_START timeout
19,PASS,press W
20,PASS,wait 1
21,PASS,release W
22,FAIL,waitspell CLIENT_MOVEMENT_CANCEL timeout
23,PASS,socket-trace stop
24,PASS,wire-trace stop
25,PASS,gm .gps
26,PASS,waitfor GmChatResponse
27,PASS,gm .gm on
28,PASS,wait 1
29,PASS,gm .npc spawn delete
