row,school,stage,path
1,physical,precast,dumps/gameplay-n1c-anim-moving-physical-precast.png
1,physical,cast,dumps/gameplay-n1c-anim-moving-physical-cast.png
2,fire,precast,dumps/gameplay-n1c-anim-moving-fire-precast.png
2,fire,cast,dumps/gameplay-n1c-anim-moving-fire-cast.png
3,frost,precast,dumps/gameplay-n1c-anim-moving-frost-precast.png
3,frost,cast,dumps/gameplay-n1c-anim-moving-frost-cast.png
4,arcane,precast,dumps/gameplay-n1c-anim-moving-arcane-precast.png
4,arcane,cast,dumps/gameplay-n1c-anim-moving-arcane-cast.png
5,holy,precast,dumps/gameplay-n1c-anim-moving-holy-precast.png
5,holy,cast,dumps/gameplay-n1c-anim-moving-holy-cast.png
6,nature,precast,dumps/gameplay-n1c-anim-moving-nature-precast.png
6,nature,cast,dumps/gameplay-n1c-anim-moving-nature-cast.png
7,shadow,precast,dumps/gameplay-n1c-anim-moving-shadow-precast.png
7,shadow,cast,dumps/gameplay-n1c-anim-moving-shadow-cast.png
