step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\interfaces\bank-live.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .gm on
4,PASS,select self guid=0x00000000000001B2
5,PASS,gm .modify money 100000
6,PASS,gm .additem 159 1
7,PASS,gm .npc spawn add 2455
8,PASS,select entry-nearest:2455 guid=0xF13000099704A2BC
9,PASS,anchor selected guid=0xF13000099704A2BC position=-8949.95|-132.493|83.529526
10,PASS,gm .gm off
11,PASS,bank open
12,PASS,probe-interface bank open response
13,PASS,assert family=bank step=open outcome=OPEN
14,PASS,bank deposit-entry 159
15,PASS,wait 3
16,PASS,assert family=bank step=transfer outcome=DEPOSITED
17,PASS,bank withdraw-entry 159
18,PASS,wait 3
19,PASS,assert family=bank step=transfer outcome=WITHDRAWN
20,PASS,bank buy-slot
21,PASS,wait 2
22,PASS,assert family=bank step=buy-result outcome=SUCCESS-BY-DELTA
23,PASS,assert family=bank step=bag-slot outcome=PURCHASED
24,PASS,dump n1c-bank-ui
25,PASS,wait 2
26,PASS,gm .gps
27,PASS,waitfor GmChatResponse
28,PASS,gm .gm on
29,PASS,select anchor guid=0xF13000099704A2BC
30,PASS,gm .npc spawn delete
31,PASS,gm .gm off
