step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\interfaces\character-inventory-live.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .gm on
4,PASS,select self guid=0x00000000000001B2
5,PASS,gm .additem 25 1
6,PASS,wait 2
7,PASS,gm .gm off
8,PASS,character inspect
9,PASS,wait 2
10,PASS,character inspect
11,PASS,assert family=character step=stats outcome=WIRE-SNAPSHOT
12,PASS,assert entry=25;name=Worn_Shortsword
13,PASS,inventory equip-entry 25
14,PASS,wait 3
15,PASS,assert family=inventory step=equipment outcome=EQUIPPED
16,PASS,character inspect
17,PASS,character open
18,PASS,dump n1c-character-inventory-ui
19,PASS,wait 2
20,PASS,inventory unequip-slot 15
21,PASS,wait 3
22,PASS,assert family=inventory step=equipment outcome=UNEQUIPPED
23,PASS,character inspect
24,PASS,gm .gps
25,PASS,waitfor GmChatResponse
