run_local,actual_name,class_id,race_id,guid,level
"2026-08-01T09:09:19","Dfsgfds",1,1,0x00000000000001B2,1
"2026-08-01T09:09:19","Nbwarhuman",1,1,0x000000000000021D,1
"2026-08-01T09:09:19","Rthw",1,1,0x00000000000001A5,1
"2026-08-01T09:09:19","Sdfsdf",1,1,0x00000000000001A3,1
"2026-08-01T09:09:19","Test",1,1,0x0000000000000001,20
"2026-08-01T09:09:19","Yaf",1,1,0x0000000000000014,11
"2026-08-01T09:09:19","Zuggina",1,1,0x0000000000000091,20
"2026-08-01T09:09:19","Dwfpala",2,3,0x0000000000000152,1
"2026-08-01T09:09:19","Magetest",8,1,0x0000000000000002,6
"2026-08-01T09:09:19","Testagain",8,1,0x0000000000000020,1
