panel,element,field,expected,actual,verdict
"party-frame","PartyMemberFrame1PetFrameDebuff1Border","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff1Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff1Icon","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff2","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff2Border","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff2Border","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff2Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff2Icon","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff3","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff3Border","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff3Border","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff3Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff3Icon","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff4","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff4","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff4Border","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff4Border","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff4Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1PetFrameDebuff4Icon","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1PetFrameHealthBar","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1PetFrameHealthBar","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1PetFramePortrait","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1PetFramePortrait","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Portrait","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"party-frame","PartyMemberFrame1Portrait","presence","PRESENT","PRESENT","PASS"
