panel,element,field,expected,actual,verdict
"buff-frame","BuffButton17Border","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton17Border","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton17Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton17Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton17Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton17Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton17Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton17Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton18","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton18","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton18Border","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton18Border","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton18Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton18Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton18Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton18Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton18Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton18Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton19","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton19","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton19Border","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton19Border","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton19Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton19Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton19Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton19Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton19Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton19Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton1Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton1Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton1Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton1Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton1Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton1Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton2","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton20","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton20","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton20Border","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton20Border","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton20Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton20Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton20Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton20Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton20Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton20Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton21","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton21","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton21Border","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton21Border","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton21Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton21Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton21Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton21Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton21Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton21Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton22","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton22","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton22Border","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton22Border","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton22Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton22Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton22Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton22Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton22Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton22Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton23","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton23","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton23Border","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton23Border","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton23Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton23Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton23Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton23Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton23Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton23Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton2Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton2Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton2Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton2Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton2Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton2Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton3","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton3Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton3Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton3Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton3Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton3Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton3Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton4","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton4","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton4Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton4Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton4Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton4Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton4Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton4Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton5","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton5","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton5Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton5Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton5Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton5Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton5Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton5Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton6","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton6","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton6Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton6Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton6Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton6Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton6Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton6Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton7","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton7","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton7Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton7Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton7Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton7Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton7Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton7Icon","presence","PRESENT","ABSENT","DELTA"
