key,kind,displayId,modelPath,outcome,cameraSource,authoredRetried,subjectPx,rgbLo,rgbHi,alphaLo,alphaHi,meanLuma,pieces,bindPoseHeight,eyeHeight,distance,fovyDeg,nearPlane,elapsedMs,note
creature:5369,creature,5369,Creature\Chicken\Chicken.m2,Ready,Authored,false,30036,4,255,127,255,83.2662,-1,0.5,0,0,32.6593,0.2222,61.5738,
creature:5370,creature,5370,Character\Troll\Male\TrollMale.m2,Ready,Authored,false,42183,0,255,255,255,122.5064,-1,3.1916,0,0,27.4872,0.2222,77.5731,
creature:5371,creature,5371,Character\Tauren\Female\TaurenFemale.m2,Ready,Authored,false,47581,0,255,255,255,59.6899,-1,2.2327,0,0,26.282,0.2222,86.5058,
creature:5372,creature,5372,Character\Tauren\Male\TaurenMale.m2,Ready,Authored,false,50225,0,255,255,255,98.4438,-1,2.3821,0,0,22.5007,0.2222,79.6935,
creature:5373,creature,5373,Character\Tauren\Male\TaurenMale.m2,Ready,Authored,false,52283,0,255,255,255,92.9811,-1,2.3821,0,0,22.5007,0.2222,79.3193,
creature:5374,creature,5374,Character\Human\Male\HumanMale.m2,Ready,Authored,false,37181,0,255,255,255,136.3931,-1,2.0352,0,0,27,0.2222,79.7264,
creature:5375,creature,5375,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,37374,0,255,255,255,166.3926,-1,1.9362,0,0,27,0.2222,76.8356,
creature:5376,creature,5376,Character\Gnome\Male\GnomeMale.m2,Ready,Authored,false,40344,0,255,255,255,115.324,-1,1.1298,0,0,27.7333,0.2222,75.4676,
creature:5377,creature,5377,Character\Gnome\Male\GnomeMale.m2,Ready,Authored,false,39875,0,255,255,255,125.5853,-1,1.1298,0,0,27.7333,0.2222,73.089,
creature:5378,creature,5378,Character\Gnome\Female\GnomeFemale.m2,Ready,Authored,false,39907,0,255,255,255,131.1989,-1,1.1753,0,0,27,0.2222,81.5725,
creature:5379,creature,5379,Creature\Frog\Frog.m2,Ready,Authored,false,29867,0,255,255,255,93.8053,-1,0.5,0,0,32.6593,0.2222,52.4642,
creature:5385,creature,5385,Character\Dwarf\Male\DwarfMale.m2,Ready,Authored,false,42635,0,255,255,255,70.1049,-1,1.6754,0,0,27,0.2222,73.8501,
creature:5386,creature,5386,Creature\GolemHarvestStage2\GolemHarvestStage2.m2,Ready,Authored,false,43479,0,255,127,255,69.3226,-1,3.4072,0,0,32.6593,0.2222,60.8558,
creature:5405,creature,5405,Character\Human\Male\HumanMale.m2,Ready,Authored,false,37389,0,255,255,255,75.5982,-1,2.0352,0,0,27,0.2222,73.3906,
creature:5406,creature,5406,Character\Tauren\Male\TaurenMale.m2,Ready,Authored,false,54398,0,255,255,255,90.5922,-1,2.3821,0,0,22.5007,0.2222,84.3861,
creature:5407,creature,5407,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,48963,0,255,255,255,51.361,-1,1.9362,0,0,27,0.2222,75.5617,
