panel,element,field,expected,actual,verdict
"buff-frame","BuffButton23","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton23Border","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton23Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton23Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton23Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton2Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton2Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton2Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton3","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton3Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton3Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton3Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton4","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton4Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton4Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton4Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton5","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton5Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton5Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton5Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton6","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton6Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton6Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton6Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton7","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton7Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton7Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton7Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton8","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton8Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton8Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton8Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton9","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton9Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton9Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton9Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffFrame","presence","PRESENT","PRESENT","PASS"
"buff-frame","BuffFrame","geometry","0|0|50|50","0|0|50|50","PASS"
"buff-frame","BuffFrame","anchor","TOPRIGHT|UIParent|TOPRIGHT|-205|-13","TOPRIGHT|UIParent|TOPRIGHT|-205|-13","PASS"
"buff-frame","BuffFrame","texture-path","||","||","PASS"
"buff-frame","BuffFrame","font","|","|","PASS"
"buff-frame","BuffFrame","color","","","PASS"
"buff-frame","BuffFrame","layer","LOW|","LOW|","PASS"
