time,character,spell_id,name,school,stage,kit_id,authored_animation_id,requested_animation_id,played_animation_id,resolution,renderer_state,moving,legal_while_moving,movement_interrupts,base_animation,previous_base_animation,action_animation,hold_animation,blend_weight,source
0.662,"Nbmaghuman",836,"LOGINEFFECT",PHYSICAL,CAST,127,-1,-1,-1,Missing,"none",False,True,False,"none","none","none","none",1.0000,SERVER_GO
9.811,"Nbmaghuman",133,"Fireball",FIRE,PRECAST,30,51,51,51,BakedOnDemand,"Anim51",False,False,True,"Stand","none","none","Anim51",1.0000,SERVER_START
11.280,"Nbmaghuman",133,"Fireball",FIRE,CAST,38,53,53,53,BakedOnDemand,"Anim53",False,False,True,"Anim51","none","Anim53","none",1.0000,SERVER_GO
