rowKey,key,axis,displayId,extraId,batchIndex,geosetId,region,textureType,resolvedTexture,effectiveTexture,supplier,customContent,demandedTexture,demandedSupplier,missingDemandedTexture,predicted7C2Texture,protocolRow,modelPath,modelSupplier,race,sex,skin,face,hairStyle,hairColor,facialHair,equipment,geosetsChosen,bakeTexture,bakeSupplier,helmDisplayId,helmSuffix,helmModel,helmSupplier,shoulderDisplayId,shoulderModels,shoulderSuppliers,attachmentStatus,capeTexture,charSectionsDupKey,charSectionsWinnerRow,outcome,subjectPx,meanLuma,elapsedMs,note
item:cape:61216,item:cape:61216,items,61216,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61216_Cape_Cloth_A_02Orange.blp,Item\ObjectComponents\Cape\Custom_61216_Cape_Cloth_A_02Orange.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61216_Cape_Cloth_A_02Orange.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61216,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61216_Cape_Cloth_A_02Orange.blp,0,NONE,Ready,23454,47.1449,167.2773,
item:cape:61217,item:cape:61217,items,61217,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61217_Cape_Cloth_A_02Orange.blp,Item\ObjectComponents\Cape\Custom_61217_Cape_Cloth_A_02Orange.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61217_Cape_Cloth_A_02Orange.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61217,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61217_Cape_Cloth_A_02Orange.blp,0,NONE,Ready,23454,51.5681,159.6057,
item:cape:61226,item:cape:61226,items,61226,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61226_Cape_Cloth_B_01Green.blp,Item\ObjectComponents\Cape\Custom_61226_Cape_Cloth_B_01Green.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61226_Cape_Cloth_B_01Green.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61226,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61226_Cape_Cloth_B_01Green.blp,0,NONE,Ready,23454,50.3973,159.2333,
item:cape:61227,item:cape:61227,items,61227,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61227_Cape_Cloth_B_01Green.blp,Item\ObjectComponents\Cape\Custom_61227_Cape_Cloth_B_01Green.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61227_Cape_Cloth_B_01Green.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61227,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61227_Cape_Cloth_B_01Green.blp,0,NONE,Ready,23454,50.0325,156.247,
item:cape:61228,item:cape:61228,items,61228,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61228_Cape_Cloth_B_01Green.blp,Item\ObjectComponents\Cape\Custom_61228_Cape_Cloth_B_01Green.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61228_Cape_Cloth_B_01Green.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61228,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61228_Cape_Cloth_B_01Green.blp,0,NONE,Ready,23454,51.9278,153.4605,
item:cape:61229,item:cape:61229,items,61229,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61229_Cape_Cloth_B_01Green.blp,Item\ObjectComponents\Cape\Custom_61229_Cape_Cloth_B_01Green.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61229_Cape_Cloth_B_01Green.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61229,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61229_Cape_Cloth_B_01Green.blp,0,NONE,Ready,23454,52.9253,154.7936,
item:cape:61298,item:cape:61298,items,61298,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61298_Cape_Mage_A_01Black.blp,Item\ObjectComponents\Cape\Custom_61298_Cape_Mage_A_01Black.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61298_Cape_Mage_A_01Black.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61298,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61298_Cape_Mage_A_01Black.blp,0,NONE,Ready,23454,36.0325,154.8243,
item:cape:61299,item:cape:61299,items,61299,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61299_Cape_Mage_A_01Black.blp,Item\ObjectComponents\Cape\Custom_61299_Cape_Mage_A_01Black.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61299_Cape_Mage_A_01Black.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61299,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61299_Cape_Mage_A_01Black.blp,0,NONE,Ready,23454,37.2541,161.6071,
item:cape:61300,item:cape:61300,items,61300,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61300_Cape_Mage_A_01Black.blp,Item\ObjectComponents\Cape\Custom_61300_Cape_Mage_A_01Black.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61300_Cape_Mage_A_01Black.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61300,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61300_Cape_Mage_A_01Black.blp,0,NONE,Ready,23454,38.8016,155.4231,
item:cape:61301,item:cape:61301,items,61301,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61301_Cape_Mage_A_01Black.blp,Item\ObjectComponents\Cape\Custom_61301_Cape_Mage_A_01Black.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61301_Cape_Mage_A_01Black.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61301,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61301_Cape_Mage_A_01Black.blp,0,NONE,Ready,23454,39.7429,157.0011,
