step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\T3-VD-facing-turnin-20260731-160000.txt
1,PASS,gm .gm off
2,PASS,gm .npc spawn add 6
3,PASS,wait 0.2
4,PASS,select spawn:1 guid=0xF13000000604A27C
5,PASS,assert within3=true
6,PASS,gm .npc set level 60
7,PASS,gm .npc set reactstate 0
8,PASS,press turn-left
9,PASS,wait 1
10,PASS,release turn-left
11,PASS,trace start T3-VD-facing-turnin-20260731-160000
12,PASS,attack start
13,PASS,wait 2
14,PASS,press turn-right
15,PASS,wait 1
16,PASS,release turn-right
17,PASS,wait 7
18,PASS,attack stop
19,PASS,trace stop
20,PASS,gm .npc spawn delete
21,PASS,wait 1
22,PASS,waitgone spawn:1 guid=0xF13000000604A27C descriptorPresent=False
