name	security	runnable	has_subcommands
debug chatfreeze	SEC_ADMINISTRATOR	1	0
deplenish	SEC_GAMEMASTER	1	0
replenish	SEC_GAMEMASTER	1	0
event	SEC_GAMEMASTER	0	1
event list	SEC_GAMEMASTER	1	0
event start	SEC_BASIC_ADMIN	1	0
event stop	SEC_BASIC_ADMIN	1	0
event enable	SEC_DEVELOPER	1	0
event disable	SEC_DEVELOPER	1	0
event	SEC_GAMEMASTER	1	0
gm	SEC_PLAYER	0	1
gm chat	SEC_MODERATOR	1	0
gm fly	SEC_GAMEMASTER	1	0
gm ingame	SEC_PLAYER	1	0
gm list	SEC_ADMINISTRATOR	1	0
gm visible	SEC_TICKETMASTER	1	0
gm setview	SEC_TICKETMASTER	1	0
gm	SEC_TICKETMASTER	1	0
honor	SEC_GAMEMASTER	0	1
honor add	SEC_BASIC_ADMIN	1	0
honor addkill	SEC_BASIC_ADMIN	1	0
honor show	SEC_TICKETMASTER	1	0
honor setrp	SEC_BASIC_ADMIN	1	0
honor reset	SEC_BASIC_ADMIN	1	0
go	SEC_TICKETMASTER	0	1
go creature	SEC_TICKETMASTER	1	0
go graveyard	SEC_TICKETMASTER	1	0
go grid	SEC_TICKETMASTER	1	0
go object	SEC_TICKETMASTER	1	0
go target	SEC_TICKETMASTER	1	0
go taxinode	SEC_TICKETMASTER	1	0
go trigger	SEC_TICKETMASTER	1	0
go zonexy	SEC_TICKETMASTER	1	0
go xy	SEC_TICKETMASTER	1	0
go xyz	SEC_TICKETMASTER	1	0
go xyzo	SEC_TICKETMASTER	1	0
go forward	SEC_TICKETMASTER	1	0
go up	SEC_TICKETMASTER	1	0
go relative	SEC_TICKETMASTER	1	0
go warsong	SEC_TICKETMASTER	1	0
go arathi	SEC_TICKETMASTER	1	0
go alterac	SEC_TICKETMASTER	1	0
go	SEC_TICKETMASTER	1	0
gobject	SEC_TICKETMASTER	0	1
gobject add	SEC_DEVELOPER	1	0
gobject tmpadd	SEC_GAMEMASTER	1	0
gobject delete	SEC_DEVELOPER	1	0
gobject move	SEC_GAMEMASTER	1	0
gobject near	SEC_TICKETMASTER	1	0
gobject target	SEC_GAMEMASTER	1	0
gobject turn	SEC_GAMEMASTER	1	0
gobject info	SEC_TICKETMASTER	1	0
gobject ufinfo	SEC_DEVELOPER	1	0
gobject select	SEC_TICKETMASTER	1	0
gobject despawn	SEC_GAMEMASTER	1	0
gobject toggle	SEC_GAMEMASTER	1	0
gobject reset	SEC_GAMEMASTER	1	0
gobject respawn	SEC_GAMEMASTER	1	0
gobject use	SEC_GAMEMASTER	1	0
gobject setgostate	SEC_GAMEMASTER	1	0
gobject setlootstate	SEC_GAMEMASTER	1	0
gobject customanim	SEC_GAMEMASTER	1	0
gobject spawnanim	SEC_GAMEMASTER	1	0
gobject despawnanim	SEC_GAMEMASTER	1	0
guild	SEC_GAMEMASTER	0	1
guild create	SEC_GAMEMASTER	1	0
guild delete	SEC_BASIC_ADMIN	1	0
guild invite	SEC_GAMEMASTER	1	0
guild uninvite	SEC_GAMEMASTER	1	0
guild rank	SEC_GAMEMASTER	1	0
guild rename	SEC_BASIC_ADMIN	1	0
guild showlog	SEC_GAMEMASTER	1	0
instance	SEC_TICKETMASTER	0	1
instance continents	SEC_BASIC_ADMIN	1	0
instance getdata	SEC_GAMEMASTER	1	0
instance setdata	SEC_GAMEMASTER	1	0
instance listbinds	SEC_GAMEMASTER	1	0
instance unbind	SEC_GAMEMASTER	1	0
instance groupunbind	SEC_BASIC_ADMIN	1	0
instance stats	SEC_BASIC_ADMIN	1	0
instance savedata	SEC_BASIC_ADMIN	1	0
instance switch	SEC_BASIC_ADMIN	1	0
instance perfinfos	SEC_BASIC_ADMIN	1	0
instance smartrebind	SEC_TICKETMASTER	1	0
learn	SEC_MODERATOR	0	1
learn all	SEC_ADMINISTRATOR	1	0
learn all_gm	SEC_GAMEMASTER	1	0
learn all_crafts	SEC_GAMEMASTER	1	0
learn all_default	SEC_TICKETMASTER	1	0
learn all_lang	SEC_MODERATOR	1	0
learn all_myclass	SEC_DEVELOPER	1	0
learn all_myspells	SEC_DEVELOPER	1	0
learn all_mytalents	SEC_DEVELOPER	1	0
learn all_mytaxis	SEC_TICKETMASTER	1	0
learn all_recipes	SEC_GAMEMASTER	1	0
learn all_trainer	SEC_GAMEMASTER	1	0
learn all_items	SEC_GAMEMASTER	1	0
learn	SEC_DEVELOPER	1	0
list	SEC_TICKETMASTER	0	1
list auras	SEC_TICKETMASTER	1	0
list creature	SEC_TICKETMASTER	1	0
list clicktomove	SEC_TICKETMASTER	1	0
list exploredareas	SEC_TICKETMASTER	1	0
list item	SEC_TICKETMASTER	1	0
list object	SEC_TICKETMASTER	1	0
list talents	SEC_TICKETMASTER	1	0
