name	security	runnable	has_subcommands
bot	SEC_ADMINISTRATOR	0	1
bot add	SEC_ADMINISTRATOR	1	0
bot add_all	SEC_ADMINISTRATOR	1	0
bot delete	SEC_ADMINISTRATOR	1	0
bot info	SEC_ADMINISTRATOR	1	0
bot reload	SEC_ADMINISTRATOR	1	0
bot stop	SEC_ADMINISTRATOR	1	0
bot start	SEC_ADMINISTRATOR	1	0
bot addai	SEC_ADMINISTRATOR	1	0
bot ranadd	SEC_ADMINISTRATOR	1	0
ahbot	SEC_ADMINISTRATOR	0	1
ahbot reload	SEC_ADMINISTRATOR	1	0
ahbot update	SEC_ADMINISTRATOR	1	0
partybot	SEC_ADMINISTRATOR	0	1
partybot add	SEC_ADMINISTRATOR	1	0
partybot clone	SEC_ADMINISTRATOR	1	0
partybot load	SEC_ADMINISTRATOR	1	0
partybot setrole	SEC_ADMINISTRATOR	1	0
partybot attackstart	SEC_ADMINISTRATOR	1	0
partybot attackstop	SEC_ADMINISTRATOR	1	0
partybot pull	SEC_ADMINISTRATOR	1	0
partybot aoe	SEC_ADMINISTRATOR	1	0
partybot caststart	SEC_ADMINISTRATOR	1	0
partybot caststop	SEC_ADMINISTRATOR	1	0
partybot ccmark	SEC_ADMINISTRATOR	1	0
partybot focusmark	SEC_ADMINISTRATOR	1	0
partybot clearmarks	SEC_ADMINISTRATOR	1	0
partybot cometome	SEC_ADMINISTRATOR	1	0
partybot usegobject	SEC_ADMINISTRATOR	1	0
partybot pause	SEC_ADMINISTRATOR	1	0
partybot unpause	SEC_ADMINISTRATOR	1	0
partybot unequip	SEC_ADMINISTRATOR	1	0
partybot remove	SEC_ADMINISTRATOR	1	0
battlebot	SEC_ADMINISTRATOR	0	1
battlebot add	SEC_ADMINISTRATOR	0	1
battlebot add alterac	SEC_ADMINISTRATOR	1	0
battlebot add arathi	SEC_ADMINISTRATOR	1	0
battlebot add warsong	SEC_ADMINISTRATOR	1	0
battlebot remove	SEC_ADMINISTRATOR	1	0
battlebot removeall	SEC_ADMINISTRATOR	1	0
battlebot showpath	SEC_ADMINISTRATOR	1	0
battlebot showallpaths	SEC_ADMINISTRATOR	1	0
sui	SEC_ADMINISTRATOR	0	1
sui possess	SEC_ADMINISTRATOR	1	0
sui release	SEC_ADMINISTRATOR	1	0
sui worldstate	SEC_ADMINISTRATOR	1	0
sui rts	SEC_ADMINISTRATOR	1	0
sui companion	SEC_ADMINISTRATOR	1	0
world	SEC_ADMINISTRATOR	0	1
world update	SEC_ADMINISTRATOR	1	0
world cansee	SEC_ADMINISTRATOR	1	0
world detail	SEC_ADMINISTRATOR	1	0
possess	SEC_GAMEMASTER	1	0
cinematic	SEC_DEVELOPER	0	1
cinematic addwp	SEC_DEVELOPER	1	0
cinematic gotime	SEC_DEVELOPER	1	0
cinematic listwp	SEC_DEVELOPER	1	0
escort	SEC_TICKETMASTER	0	1
escort create	SEC_DEVELOPER	1	0
escort addwp	SEC_DEVELOPER	1	0
escort modwp	SEC_DEVELOPER	1	0
escort clearwp	SEC_DEVELOPER	1	0
escort showwp	SEC_TICKETMASTER	1	0
escort hidewp	SEC_TICKETMASTER	1	0
bg	SEC_GAMEMASTER	0	1
bg status	SEC_GAMEMASTER	1	0
bg start	SEC_GAMEMASTER	1	0
bg stop	SEC_GAMEMASTER	1	0
bg	SEC_GAMEMASTER	1	0
spell	SEC_GAMEMASTER	0	1
spell effects	SEC_GAMEMASTER	1	0
spell info	SEC_GAMEMASTER	1	0
spell search	SEC_GAMEMASTER	1	0
spell iconfix	SEC_DEVELOPER	1	0
pvp	SEC_GAMEMASTER	1	0
variable	SEC_DEVELOPER	1	0
aura	SEC_BASIC_ADMIN	1	0
nameaura	SEC_BASIC_ADMIN	1	0
unaura	SEC_GAMEMASTER	1	0
announce	SEC_BASIC_ADMIN	1	0
notify	SEC_BASIC_ADMIN	1	0
goname	SEC_TICKETMASTER	1	0
namego	SEC_TICKETMASTER	1	0
group	SEC_GAMEMASTER	0	1
group additem	SEC_GAMEMASTER	1	0
group revive	SEC_GAMEMASTER	1	0
group replenish	SEC_GAMEMASTER	1	0
group summon	SEC_GAMEMASTER	1	0
groupgo	SEC_TICKETMASTER	1	0
gocorpse	SEC_TICKETMASTER	1	0
commands	SEC_PLAYER	1	0
demorph	SEC_GAMEMASTER	1	0
namedie	SEC_GAMEMASTER	1	0
die	SEC_GAMEMASTER	1	0
fear	SEC_GAMEMASTER	1	0
knockback	SEC_GAMEMASTER	1	0
revive	SEC_GAMEMASTER	1	0
mount	SEC_GAMEMASTER	1	0
dismount	SEC_PLAYER	1	0
gps	SEC_MODERATOR	1	0
guid	SEC_MODERATOR	1	0
help	SEC_PLAYER	1	0
itemmove	SEC_GAMEMASTER	1	0
cooldown	SEC_GAMEMASTER	0	1
cooldown list	SEC_GAMEMASTER	1	0
cooldown clear	SEC_GAMEMASTER	1	0
cooldown clearclientside	SEC_GAMEMASTER	1	0
unlearn	SEC_GAMEMASTER	0	1
unlearn all_gm	SEC_GAMEMASTER	1	0
unlearn all_crafts	SEC_GAMEMASTER	1	0
unlearn all_recipes	SEC_GAMEMASTER	1	0
unlearn	SEC_GAMEMASTER	1	0
removeriding	SEC_GAMEMASTER	1	0
distance	SEC_MODERATOR	1	0
angle	SEC_MODERATOR	1	0
recall	SEC_MODERATOR	1	0
save	SEC_PLAYER	1	0
saveall	SEC_ADMINISTRATOR	1	0
kick	SEC_TICKETMASTER	1	0
ban	SEC_TICKETMASTER	0	1
ban account	SEC_GAMEMASTER	1	0
ban allip	SEC_ADMINISTRATOR	1	0
ban character	SEC_GAMEMASTER	1	0
ban ip	SEC_ADMINISTRATOR	1	0
ban note	SEC_TICKETMASTER	1	0
ban warn	SEC_TICKETMASTER	1	0
unban	SEC_ADMINISTRATOR	0	1
unban account	SEC_ADMINISTRATOR	1	0
unban character	SEC_ADMINISTRATOR	1	0
unban ip	SEC_ADMINISTRATOR	1	0
baninfo	SEC_TICKETMASTER	0	1
baninfo account	SEC_TICKETMASTER	1	0
baninfo character	SEC_TICKETMASTER	1	0
baninfo ip	SEC_GAMEMASTER	1	0
banlist	SEC_TICKETMASTER	0	1
banlist account	SEC_TICKETMASTER	1	0
banlist character	SEC_TICKETMASTER	1	0
banlist ip	SEC_GAMEMASTER	1	0
start	SEC_PLAYER	1	0
unstuck	SEC_PLAYER	1	0
taxicheat	SEC_TICKETMASTER	1	0
linkgrave	SEC_DEVELOPER	1	0
neargrave	SEC_TICKETMASTER	1	0
explorecheat	SEC_TICKETMASTER	1	0
hover	SEC_TICKETMASTER	1	0
levelup	SEC_GAMEMASTER	1	0
showarea	SEC_TICKETMASTER	1	0
hidearea	SEC_TICKETMASTER	1	0
additem	SEC_GAMEMASTER	1	0
deleteitem	SEC_GAMEMASTER	1	0
additemset	SEC_GAMEMASTER	1	0
bank	SEC_TICKETMASTER	1	0
wchange	SEC_BASIC_ADMIN	1	0
ticket	SEC_TICKETMASTER	0	1
ticket assign	SEC_TICKETMASTER	1	0
ticket close	SEC_TICKETMASTER	1	0
ticket closedlist	SEC_TICKETMASTER	1	0
ticket counter	SEC_TICKETMASTER	1	0
ticket comment	SEC_TICKETMASTER	1	0
ticket complete	SEC_TICKETMASTER	1	0
ticket delete	SEC_GAMEMASTER	1	0
ticket escalate	SEC_TICKETMASTER	1	0
ticket escalatedlist	SEC_GAMEMASTER	1	0
ticket list	SEC_TICKETMASTER	1	0
ticket next	SEC_TICKETMASTER	1	0
ticket notify	SEC_TICKETMASTER	1	0
ticket onlinelist	SEC_TICKETMASTER	1	0
ticket previous	SEC_TICKETMASTER	1	0
ticket reload	SEC_TICKETMASTER	1	0
ticket reset	SEC_ADMINISTRATOR	1	0
ticket response	SEC_TICKETMASTER	0	1
ticket response reset	SEC_GAMEMASTER	1	0
ticket response append	SEC_TICKETMASTER	1	0
ticket response appendln	SEC_TICKETMASTER	1	0
ticket togglesystem	SEC_ADMINISTRATOR	1	0
ticket unassign	SEC_TICKETMASTER	1	0
ticket viewid	SEC_TICKETMASTER	1	0
ticket viewname	SEC_TICKETMASTER	1	0
ticket	SEC_TICKETMASTER	1	0
maxskill	SEC_GAMEMASTER	1	0
setskill	SEC_GAMEMASTER	1	0
whispers	SEC_MODERATOR	1	0
wr	SEC_PLAYER	1	0
pinfo	SEC_TICKETMASTER	1	0
groupinfo	SEC_TICKETMASTER	1	0
pbcast	SEC_ADMINISTRATOR	1	1
pbcast stats	SEC_ADMINISTRATOR	1	0
pbcast setthreads	SEC_ADMINISTRATOR	1	0
respawn	SEC_BASIC_ADMIN	1	0
send	SEC_MODERATOR	0	1
send mass	SEC_ADMINISTRATOR	0	1
send mass items	SEC_ADMINISTRATOR	1	0
send mass mail	SEC_ADMINISTRATOR	1	0
send mass money	SEC_ADMINISTRATOR	1	0
send items	SEC_ADMINISTRATOR	1	0
send mail	SEC_MODERATOR	1	0
send message	SEC_ADMINISTRATOR	1	0
send money	SEC_ADMINISTRATOR	1	0
mute	SEC_MODERATOR	1	0
unmute	SEC_TICKETMASTER	1	0
movegens	SEC_TICKETMASTER	1	0
cometome	SEC_GAMEMASTER	1	0
aoedamage	SEC_GAMEMASTER	1	0
damage	SEC_GAMEMASTER	1	0
combatstop	SEC_GAMEMASTER	1	0
repairitems	SEC_GAMEMASTER	1	0
stable	SEC_TICKETMASTER	1	0
quit	SEC_CONSOLE	1	0
mmap	SEC_GAMEMASTER	0	1
mmap path	SEC_GAMEMASTER	1	0
mmap loc	SEC_GAMEMASTER	1	0
mmap loadedtiles	SEC_GAMEMASTER	1	0
mmap stats	SEC_GAMEMASTER	1	0
mmap testarea	SEC_GAMEMASTER	1	0
mmap connect	SEC_ADMINISTRATOR	1	0
mmap reload	SEC_ADMINISTRATOR	1	0
mmap unload	SEC_ADMINISTRATOR	1	0
mmap	SEC_ADMINISTRATOR	1	0
video	SEC_GAMEMASTER	0	1
video expendables	SEC_GAMEMASTER	1	0
video turn	SEC_GAMEMASTER	1	0
video	SEC_GAMEMASTER	1	0
freeze	SEC_TICKETMASTER	1	0
unfreeze	SEC_TICKETMASTER	1	0
anticheat	SEC_TICKETMASTER	1	0
groupspell	SEC_ADMINISTRATOR	0	1
groupspell add	SEC_ADMINISTRATOR	1	0
groupspell rule	SEC_ADMINISTRATOR	1	0
pet	SEC_GAMEMASTER	0	1
pet learnspell	SEC_DEVELOPER	1	0
pet unlearnspell	SEC_DEVELOPER	1	0
pet list	SEC_GAMEMASTER	1	0
pet rename	SEC_GAMEMASTER	1	0
pet delete	SEC_GAMEMASTER	1	0
pet loyalty	SEC_GAMEMASTER	1	0
pet info	SEC_MODERATOR	1	0
channel	SEC_MODERATOR	0	1
channel join	SEC_MODERATOR	1	0
channel leave	SEC_MODERATOR	1	0
log	SEC_GAMEMASTER	1	0
sniff	SEC_ADMINISTRATOR	1	0
spamer	SEC_MODERATOR	0	1
spamer mute	SEC_MODERATOR	1	0
spamer unmute	SEC_TICKETMASTER	1	0
spamer list	SEC_TICKETMASTER	1	0
antispam	SEC_TICKETMASTER	0	1
antispam add	SEC_TICKETMASTER	1	0
antispam remove	SEC_BASIC_ADMIN	1	0
antispam replace	SEC_TICKETMASTER	1	0
antispam removereplace	SEC_BASIC_ADMIN	1	0
gold	SEC_BASIC_ADMIN	0	1
gold remove	SEC_BASIC_ADMIN	1	0
wareffort	SEC_DEVELOPER	0	1
wareffort info	SEC_DEVELOPER	1	0
wareffort setgongtime	SEC_DEVELOPER	1	0
wareffort setstage	SEC_DEVELOPER	1	0
wareffort getresource	SEC_DEVELOPER	1	0
wareffort setresource	SEC_DEVELOPER	1	0
