"panel","element","type","parent","x","y","width","height","point","relativeTo","relativePoint","offsetX","offsetY","texture","font","fontPath","fontSize","color","layer","strata","bgFile","edgeFile","tileSize","edgeSize","insets","texCoords","source","assetSource","fontSource"
"action-bar","MainMenuExpBar","StatusBar","MainMenuBar","0","0","1024","13","TOP","","","","","Interface\TargetingFrame\UI-StatusBar.blp","","","","","","","","","","","","","MSUI:actual-draw-path","interface.MPQ:Interface\TargetingFrame\UI-StatusBar.blp",""
"action-bar","MainMenuXPBarTexture0","Texture","MainMenuExpBar","0","0","256","10","BOTTOM","","","-384","3","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","OVERLAY","","","","","","","0|0.79296875|1.0|0.83203125","MSUI:actual-draw-path","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuXPBarTexture1","Texture","MainMenuExpBar","256","0","256","10","BOTTOM","","","-128","3","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","OVERLAY","","","","","","","0|0.54296875|1.0|0.58203125","MSUI:actual-draw-path","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuXPBarTexture2","Texture","MainMenuExpBar","512","0","256","10","BOTTOM","","","128","3","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","OVERLAY","","","","","","","0|0.29296875|1.0|0.33203125","MSUI:actual-draw-path","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuXPBarTexture3","Texture","MainMenuExpBar","768","0","256","10","BOTTOM","","","384","3","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","OVERLAY","","","","","","","0|0.04296875|1.0|0.08203125","MSUI:actual-draw-path","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
